freq (Hz),leafValue( getData("out" ?result "noise") "Q0.m" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 32 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 64 ) (A / sqrt(Hz))
4.78630,231.547E-12,326.516E-12,459.124E-12,641.948E-12,887.677E-12,1.20155E-9,1.56302E-9
4.89779,228.681E-12,322.476E-12,453.444E-12,634.008E-12,876.703E-12,1.18671E-9,1.54376E-9
5.01187,225.853E-12,318.487E-12,447.836E-12,626.169E-12,865.870E-12,1.17206E-9,1.52474E-9
5.12861,223.060E-12,314.550E-12,442.300E-12,618.431E-12,855.175E-12,1.15760E-9,1.50597E-9
5.24807,220.304E-12,310.663E-12,436.836E-12,610.792E-12,844.617E-12,1.14332E-9,1.48744E-9
5.37032,217.583E-12,306.826E-12,431.441E-12,603.251E-12,834.195E-12,1.12923E-9,1.46915E-9
5.49541,214.896E-12,303.038E-12,426.115E-12,595.807E-12,823.907E-12,1.11532E-9,1.45110E-9
5.62341,212.244E-12,299.298E-12,420.858E-12,588.458E-12,813.750E-12,1.10159E-9,1.43327E-9
5.75440,209.626E-12,295.607E-12,415.668E-12,581.203E-12,803.725E-12,1.08803E-9,1.41568E-9
5.88844,207.042E-12,291.963E-12,410.545E-12,574.042E-12,793.827E-12,1.07465E-9,1.39831E-9
6.02560,204.491E-12,288.366E-12,405.487E-12,566.973E-12,784.058E-12,1.06144E-9,1.38117E-9
6.16595,201.973E-12,284.815E-12,400.495E-12,559.994E-12,774.414E-12,1.04840E-9,1.36425E-9
6.30957,199.487E-12,281.310E-12,395.566E-12,553.106E-12,764.894E-12,1.03553E-9,1.34755E-9
6.45654,197.033E-12,277.849E-12,390.702E-12,546.306E-12,755.496E-12,1.02283E-9,1.33107E-9
6.60693,194.610E-12,274.434E-12,385.899E-12,539.593E-12,746.220E-12,1.01029E-9,1.31479E-9
6.76083,192.219E-12,271.062E-12,381.159E-12,532.967E-12,737.063E-12,997.906E-12,1.29873E-9
6.91831,189.859E-12,267.734E-12,376.480E-12,526.427E-12,728.025E-12,985.687E-12,1.28288E-9
7.07946,187.529E-12,264.448E-12,371.861E-12,519.971E-12,719.103E-12,973.626E-12,1.26723E-9
7.24436,185.229E-12,261.205E-12,367.302E-12,513.598E-12,710.296E-12,961.721E-12,1.25178E-9
7.41310,182.959E-12,258.004E-12,362.801E-12,507.307E-12,701.604E-12,949.971E-12,1.23654E-9
7.58578,180.718E-12,254.845E-12,358.359E-12,501.098E-12,693.023E-12,938.372E-12,1.22149E-9
7.76247,178.506E-12,251.726E-12,353.974E-12,494.969E-12,684.554E-12,926.924E-12,1.20664E-9
7.94328,176.323E-12,248.647E-12,349.646E-12,488.920E-12,676.194E-12,915.624E-12,1.19199E-9
8.12831,174.167E-12,245.608E-12,345.374E-12,482.949E-12,667.943E-12,904.471E-12,1.17752E-9
8.31764,172.040E-12,242.609E-12,341.157E-12,477.055E-12,659.799E-12,893.463E-12,1.16324E-9
8.51138,169.941E-12,239.649E-12,336.995E-12,471.237E-12,651.761E-12,882.597E-12,1.14915E-9
8.70964,167.868E-12,236.727E-12,332.887E-12,465.496E-12,643.826E-12,871.874E-12,1.13524E-9
8.91251,165.823E-12,233.842E-12,328.832E-12,459.828E-12,635.996E-12,861.290E-12,1.12152E-9
9.12011,163.804E-12,230.996E-12,324.830E-12,454.235E-12,628.267E-12,850.844E-12,1.10797E-9
9.33254,161.811E-12,228.186E-12,320.880E-12,448.714E-12,620.638E-12,840.534E-12,1.09460E-9
9.54993,159.845E-12,225.413E-12,316.982E-12,443.265E-12,613.109E-12,830.359E-12,1.08141E-9
9.77237,157.904E-12,222.676E-12,313.134E-12,437.887E-12,605.678E-12,820.317E-12,1.06839E-9
10.0000,155.988E-12,219.975E-12,309.336E-12,432.579E-12,598.345E-12,810.406E-12,1.05554E-9
10.2329,154.097E-12,217.309E-12,305.588E-12,427.341E-12,591.107E-12,800.625E-12,1.04286E-9
10.4713,152.231E-12,214.677E-12,301.889E-12,422.170E-12,583.964E-12,790.972E-12,1.03035E-9
10.7152,150.389E-12,212.080E-12,298.238E-12,417.068E-12,576.914E-12,781.446E-12,1.01800E-9
10.9648,148.571E-12,209.517E-12,294.635E-12,412.032E-12,569.956E-12,772.045E-12,1.00581E-9
11.2202,146.777E-12,206.988E-12,291.079E-12,407.062E-12,563.090E-12,762.767E-12,993.788E-12
11.4815,145.007E-12,204.492E-12,287.570E-12,402.158E-12,556.314E-12,753.612E-12,981.922E-12
11.7490,143.260E-12,202.028E-12,284.106E-12,397.318E-12,549.627E-12,744.577E-12,970.213E-12
12.0226,141.536E-12,199.597E-12,280.689E-12,392.541E-12,543.028E-12,735.661E-12,958.660E-12
12.3027,139.834E-12,197.198E-12,277.316E-12,387.827E-12,536.516E-12,726.863E-12,947.259E-12
12.5893,138.155E-12,194.830E-12,273.987E-12,383.176E-12,530.090E-12,718.181E-12,936.011E-12
12.8825,136.498E-12,192.494E-12,270.703E-12,378.585E-12,523.748E-12,709.614E-12,924.912E-12
13.1826,134.862E-12,190.188E-12,267.461E-12,374.055E-12,517.491E-12,701.161E-12,913.960E-12
13.4896,133.249E-12,187.913E-12,264.263E-12,369.585E-12,511.316E-12,692.820E-12,903.155E-12
13.8038,131.656E-12,185.667E-12,261.106E-12,365.174E-12,505.223E-12,684.589E-12,892.494E-12
14.1254,130.085E-12,183.452E-12,257.992E-12,360.822E-12,499.211E-12,676.468E-12,881.976E-12
14.4544,128.534E-12,181.266E-12,254.919E-12,356.527E-12,493.278E-12,668.455E-12,871.598E-12
14.7911,127.005E-12,179.109E-12,251.886E-12,352.290E-12,487.424E-12,660.549E-12,861.360E-12
15.1356,125.495E-12,176.980E-12,248.894E-12,348.108E-12,481.649E-12,652.749E-12,851.259E-12
15.4882,124.005E-12,174.880E-12,245.942E-12,343.982E-12,475.950E-12,645.052E-12,841.294E-12
15.8489,122.536E-12,172.808E-12,243.029E-12,339.912E-12,470.327E-12,637.459E-12,831.463E-12
16.2181,121.085E-12,170.763E-12,240.154E-12,335.895E-12,464.780E-12,629.968E-12,821.765E-12
16.5959,119.655E-12,168.745E-12,237.318E-12,331.932E-12,459.307E-12,622.577E-12,812.198E-12
16.9824,118.243E-12,166.755E-12,234.520E-12,328.022E-12,453.907E-12,615.285E-12,802.761E-12
17.3780,116.850E-12,164.791E-12,231.760E-12,324.165E-12,448.579E-12,608.092E-12,793.451E-12
17.7828,115.476E-12,162.854E-12,229.036E-12,320.359E-12,443.323E-12,600.996E-12,784.268E-12
18.1970,114.120E-12,160.942E-12,226.350E-12,316.605E-12,438.138E-12,593.995E-12,775.210E-12
18.6209,112.783E-12,159.057E-12,223.699E-12,312.901E-12,433.023E-12,587.090E-12,766.276E-12
19.0546,111.463E-12,157.196E-12,221.084E-12,309.247E-12,427.977E-12,580.277E-12,757.463E-12
19.4984,110.161E-12,155.361E-12,218.504E-12,305.642E-12,422.999E-12,573.558E-12,748.771E-12
19.9526,108.877E-12,153.550E-12,215.959E-12,302.086E-12,418.088E-12,566.930E-12,740.198E-12
20.4174,107.611E-12,151.764E-12,213.448E-12,298.578E-12,413.245E-12,560.392E-12,731.743E-12
20.8930,106.361E-12,150.002E-12,210.972E-12,295.118E-12,408.467E-12,553.943E-12,723.404E-12
21.3796,105.128E-12,148.264E-12,208.529E-12,291.705E-12,403.754E-12,547.582E-12,715.180E-12
21.8776,103.912E-12,146.550E-12,206.119E-12,288.338E-12,399.105E-12,541.309E-12,707.069E-12
22.3872,102.713E-12,144.859E-12,203.742E-12,285.017E-12,394.520E-12,535.122E-12,699.071E-12
22.9087,101.530E-12,143.191E-12,201.398E-12,281.742E-12,389.998E-12,529.019E-12,691.184E-12
23.4423,100.363E-12,141.546E-12,199.086E-12,278.511E-12,385.538E-12,523.001E-12,683.406E-12
23.9883,99.2122E-12,139.924E-12,196.805E-12,275.325E-12,381.139E-12,517.066E-12,675.737E-12
24.5471,98.0771E-12,138.323E-12,194.556E-12,272.182E-12,376.800E-12,511.213E-12,668.175E-12
25.1189,96.9576E-12,136.745E-12,192.337E-12,269.083E-12,372.522E-12,505.441E-12,660.719E-12
25.7040,95.8536E-12,135.188E-12,190.149E-12,266.027E-12,368.302E-12,499.750E-12,653.367E-12
26.3027,94.7647E-12,133.653E-12,187.992E-12,263.012E-12,364.142E-12,494.137E-12,646.118E-12
26.9153,93.6909E-12,132.139E-12,185.864E-12,260.040E-12,360.038E-12,488.603E-12,638.972E-12
27.5423,92.6320E-12,130.646E-12,183.765E-12,257.109E-12,355.992E-12,483.146E-12,631.926E-12
28.1838,91.5877E-12,129.174E-12,181.696E-12,254.218E-12,352.003E-12,477.766E-12,624.981E-12
28.8403,90.5580E-12,127.722E-12,179.656E-12,251.368E-12,348.069E-12,472.461E-12,618.134E-12
29.5121,89.5427E-12,126.291E-12,177.644E-12,248.558E-12,344.190E-12,467.231E-12,611.384E-12
